id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,productName,productDescription,unitPrice
1,2019-05-14T17:15:45,2019-05-14T17:15:45.018,john.j.king@oracle.com,john.j.king@oracle.com,MOZZARELLA,Mozzarella cheese,7
2,2019-05-14T17:16:13,2019-05-14T17:16:13.006,john.j.king@oracle.com,john.j.king@oracle.com,DOUGH,Dough,11
3,2019-05-14T17:16:52,2019-05-14T17:16:52.004,john.j.king@oracle.com,john.j.king@oracle.com,PIZZA_SAUCE,Pizza sauce,6
101,,,,,ALFREDO,Alfredo Sauce,8
102,,,,,ANCHOVIES,Anchovies,16
103,,,,,ARUGULA,Arugula,5
104,,,,,BACON,Bacon,20
105,,,,,BANANA_PEPPERS,Banana peppers,7
106,,,,,BARBECUE,Barbecue Sauce,8
107,,,,,BEEF,Beef,15
108,,,,,BLACK_OLIVES,Black olives,2.5
109,,,,,BREADSTICKS,Breadsticks,10
110,,,,,CANADIAN_BACON,Canadian bacon,23
111,,,,,CHEESE,Cheese,12
112,,,,,CHEESECAKE,Cheesecake,14
113,,,,,CHEESESTICKS,Cheesesticks,7
114,,,,,CHERRY_TOMATOES,Cherry tomatoes,4.5
115,,,,,CHICKEN_CHUNKS,Chicken chunks,15
116,,,,,CHICKEN,Chicken breasts skinless,12
117,,,,,CHICKEN_POPPERS,Chicken poppers,13
118,,,,,CHICKEN_WINGS,Chicken wings,13.5
119,,,,,CINNAMON_ROLLS,Cinnamon rolls,3
120,,,,,COLA,Cola 2-liter bottles,1.5
121,,,,,COOKIES,Cookies,5
122,,,,,GARLIC_KNOTS,Garlic knots,10
123,,,,,GARLIC_BREADSTICKS,Garlic parmesan breadsticks,11
124,,,,,GREEN_BELL_PEPPERS,Green bell peppers,5
125,,,,,GREEN_OLIVES,Green olives,4
127,,,,,HUMMUS,Hummus,3.5
128,,,,,ITALIAN_SAUSAGE,Italian sausage,11
129,,,,,JALAPENO_PEPPERS,Jalapeno peppers,3
130,,,,,JALAPENO_POPPERS,Jalapeno poppers,11
131,,,,,LEMON_LIME,Lemon-Lime 2-liter bottles,1.5
132,,,,,MARINARA,Marinara Sauce,7.5
133,,,,,MUSHROOMS,Mushrooms,6
134,,,,,ONIONS,Onions,3
135,,,,,PARMESAN,Parmesan,8
136,,,,,PEPPERONI,Pepperoni,10
137,,,,,PESTO,Pesto Sauce,8
138,,,,,PINEAPPLE_TIDBITS,Pineapple tidbits,6
139,,,,,ROMA_TOMATOES,Roma tomatoes,4
140,,,,,ROOT_BEER,Root Beer 2-liter bottles,1.5
141,,,,,SAUSAGE,Sausage,11
142,,,,,TAPENADE,Tapenade,9
143,,,,,TOMATO,Tomato Sauce,6.5
144,,,,,WATER,Water 1-liter bottles,0.75
